2020-50-17 00:50:17 [Thread-75] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Closing JPA EntityManagerFactory for persistence unit 'default'
2020-50-17 00:50:18 [Thread-75] INFO  o.s.s.c.ThreadPoolTaskExecutor -Shutting down ExecutorService 'applicationTaskExecutor'
2020-50-17 00:50:18 [Thread-75] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-15 - Shutdown initiated...
2020-50-17 00:50:18 [Thread-75] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-15 - Shutdown completed.
2020-50-17 00:50:20 [restartedMain] INFO  c.w.e.EventManagementEngineApplication -Starting EventManagementEngineApplication on DESKTOP-I4P0PDK with PID 8292 (C:\Users\Sunil Bombe\git\event-management-engine\event-management-engine\target\classes started by Sunil Bombe in C:\Users\Sunil Bombe\git\event-management-engine\event-management-engine)
2020-50-17 00:50:20 [restartedMain] INFO  c.w.e.EventManagementEngineApplication -No active profile set, falling back to default profiles: default
2020-50-17 00:50:20 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Multiple Spring Data modules found, entering strict repository configuration mode!
2020-50-17 00:50:20 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-50-17 00:50:20 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport -Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.webwork.eventmanagementengine.repository.VenueRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2020-50-17 00:50:20 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 48ms. Found 3 JPA repository interfaces.
2020-50-17 00:50:20 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Multiple Spring Data modules found, entering strict repository configuration mode!
2020-50-17 00:50:20 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-50-17 00:50:20 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport -Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.webwork.eventmanagementengine.repository.EventRepository. If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository.
2020-50-17 00:50:20 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport -Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.webwork.eventmanagementengine.repository.UserDetailsRepository. If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository.
